District,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise,Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Latrine,Households_Urban_Latrine,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
Jaipur,Rural,100,42.6,4.2,22.0,1732679.0,754841.0,977837.9999999999,0.42600000000000005,0.0,0.042,0.0,0.22,0.0,166065.02,215124.36
Jaipur,Total,100,33.9,2.5,60.6,1732679.0,754841.0,977837.9999999999,0.0,0.0,0.0,0.0,0.0,0.0,457433.646,592569.8279999999
Jaipur,Urban,100,27.1,1.2,90.7,1732679.0,754841.0,977837.9999999999,0.0,0.271,0.0,0.012,0.0,0.907,684640.787,886899.0659999999
Sikar,Rural,100,31.4,2.8,40.2,705834.0,527560.0,178274.0,0.314,0.0,0.027999999999999997,0.0,0.402,0.0,212079.12000000002,71666.148
Sikar,Total,100,30.4,2.5,50.0,705834.0,527560.0,178274.0,0.0,0.0,0.0,0.0,0.0,0.0,263780.0,89137.0
Sikar,Urban,100,26.9,1.6,84.7,705834.0,527560.0,178274.0,0.0,0.269,0.0,0.016,0.0,0.8470000000000001,446843.32,150998.078
Nagaur,Rural,100,46.4,6.3,26.5,842201.0,675712.0,166489.0,0.46399999999999997,0.0,0.063,0.0,0.265,0.0,179063.68000000002,44119.585
Nagaur,Total,100,43.9,5.6,35.8,842201.0,675712.0,166489.0,0.0,0.0,0.0,0.0,0.0,0.0,241904.89599999998,59603.062
Nagaur,Urban,100,32.0,2.4,80.6,842201.0,675712.0,166489.0,0.0,0.32,0.0,0.024,0.0,0.8059999999999999,544623.872,134190.134
Jodhpur,Rural,100,49.5,5.2,13.7,891657.0,584215.0,172714.75617792422,0.495,0.0,0.052000000000000005,0.0,0.13699999999999998,0.0,80037.45499999999,23661.921596375614
Jodhpur,Total,100,41.4,4.0,39.7,891657.0,584215.0,172714.75617792422,0.0,0.0,0.0,0.0,0.0,0.0,231933.355,68567.75820263592
Jodhpur,Urban,100,25.8,1.7,90.1,891657.0,584215.0,172714.75617792422,0.0,0.258,0.0,0.017,0.0,0.9009999999999999,526377.715,155615.9953163097
